County,Jurisdiction,Clerk,Address,Hours
DICKINSON,BREITUNG TOWNSHIP,HANNAH CHRIVIA,"3851 MENOMINEE ST,BACK - DRIVE UP,QUINNESEC,MI,49876",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
DICKINSON,BREITUNG TOWNSHIP,HANNAH CHRIVIA,"3851 MENOMINEE ST,FRONT - WALK UP,QUINNESEC,MI,49876",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
DICKINSON,FELCH TOWNSHIP,DARRELL OMAN,"W4243 STATE HIGHWAY M69,FELCH,MI,49831",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
DICKINSON,FELCH TOWNSHIP,DARRELL OMAN,"W4243 STATE HIGHWAY M69,FELCH,MI,49831",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
DICKINSON,IRON MOUNTAIN CITY,ISAAC MICHEAU,"501 S STEPHESON AVE,IRON MOUNTAIN,MI,49801",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
DICKINSON,KINGSFORD CITY,MICHAEL STELMASZEK,"305 SOUTH CARPENTER AVENUE,KINGSFORD,MI,49802",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
DICKINSON,NORWAY CITY,TRISHA PLANTE,"915 Main St. ,In alley in back of building.,Norway,MI,49870",24/7
DICKINSON,NORWAY TOWNSHIP,JOYCE GIULIANI,"N1732 MISSION ST,VULCAN,MI,49892",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
DICKINSON,SAGOLA TOWNSHIP,JULIE ROELL,"306 1ST STREET,SAGOLA,MI,49881",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
DICKINSON,WAUCEDAH TOWNSHIP,LORI TURRI,"W3930 Morgan Street,Located on the side of the building.,Loretto,MI,49852",24/7
EATON,BELLEVUE TOWNSHIP,LISA LAWITZKE,"121 N MAIN STREET,BELLEVUE,MI,49021",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,BENTON CHARTER TOWNSHIP,CARAH SPADAFORE,"5136 WINDSOR HWY.,POTTERVILLE,MI,48876",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,BROOKFIELD TOWNSHIP,TARA MILLER,"8037 BROOKFIELD RD,CHARLOTTE,MI,48813",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,CARMEL TOWNSHIP,STEVEN WILLARD,"661 BEECH HWY,CHARLOTTE,MI,48813",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,CHARLOTTE CITY,ALICIA SMITH,"111 E. LAWRENCE AVE.,CHARLOTTE,MI,48813",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,CHARLOTTE CITY,ALICIA SMITH,"111 E. LAWRENCE AVE.,CHARLOTTE,MI,48813",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,CHESTER TOWNSHIP,DONYAELLIE WHEATON,"4785 N Mulliken Rd,Charlotte,MI,48813",24/7
EATON,DELTA CHARTER TOWNSHIP,MARY R CLARK - MIMPC,"7710 W SAGINAW HIGHWAY,NORTH DRIVE,LANSING,MI,48917",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,DELTA CHARTER TOWNSHIP,MARY R CLARK - MIMPC,"7710 W. SAGINAW HIGHWAY,EAST ENTRANCE,LANSING,MI,48917",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,DELTA CHARTER TOWNSHIP,MARY R CLARK - MIMPC,"DELTA TOWNSHIP LIBRARY,5130 DAVENPORT DRIVE,LANSING,MI,48917",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,EATON TOWNSHIP,KRISTA ROYSTON,"3981 E CLINTON TRAIL,CHARLOTTE,MI,48813",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,EATON TOWNSHIP,KRISTA ROYSTON,"3981 E CLINTON TRL,CHARLOTTE,MI,48813",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,EATON RAPIDS CITY,ROBIN WEBB,"200 S MAIN ST,EATON RAPIDS,MI,48827",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,EATON RAPIDS TOWNSHIP,TAMI HARRISON,"EATON RAPIDS TWP.  HALL,2512 S. CANAL RD.,EATON RAPIDS,MI,48827",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,GRAND LEDGE CITY,GREGORY NEWMAN,"310 GREENWOOD ST,GRAND LEDGE,MI,48837",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,HAMLIN TOWNSHIP,MICHAEL RICHARD,"6463 S. CLINTON TRAIL,EATON RAPIDS,MI,48827",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,KALAMO TOWNSHIP,DAWN CONKLIN,"8960 SPORE ST,VERMONTVILLE,MI,49096",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,OLIVET CITY,AMY HUEPENBECKER,"117 S MAIN STREET,OLIVET,MI,49076",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,ONEIDA CHARTER TOWNSHIP,MICHAELA MOSHER,"11041 ONEIDA RD,GRAND LEDGE,MI,48837",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,POTTERVILLE CITY,BECKY DOLMAN,"319 N NELSON,POTTERVILLE,MI,48876",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,ROXAND TOWNSHIP,PATTI KEPITIS,"100 IONIA STREET,MULLIKEN,MI,48861",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,SUNFIELD TOWNSHIP,BETSY GIBBS,"145 MAIN STREET,SUNFIELD,MI,48890",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,VERMONTVILLE TOWNSHIP,JAMIE PLATTE,"120 E FIRST STREET,VERMONTVILLE,MI,49096",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,WALTON TOWNSHIP,ERIN CUMMINGS,"6933 S STINE ROAD,OLIVET,MI,49076",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EATON,WINDSOR CHARTER TOWNSHIP,MEREDITH BARNHART-SMITH,"405 W JEFFERSON,DIMONDALE,MI,48821",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EMMET,BEAR CREEK TOWNSHIP,EMMA RADATOVICH,"BEAR CREEK TOWNSHIP OFFICES,373 N DIVISION RD,PETOSKEY,MI,49770",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EMMET,BLISS TOWNSHIP,DEBRA PROUT,"265 W. STURGEON BAY TRAIL,LEVERING,MI,49755",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EMMET,CARP LAKE TOWNSHIP,MICHAEL LLOYD,"6339 E GILL RD,CARP LAKE,MI,49718",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EMMET,CENTER TOWNSHIP,CONSTANCE JORDAN,"981 W. VAN RD.,PELLSTON,MI,49769",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EMMET,FRIENDSHIP TOWNSHIP,JANELL VAN DIVNER,"FRIENDSHIP TOWNSHIP HALL PORCH,3018 BEACON HILL LANE,HARBOR SPGS,MI,49740",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EMMET,HARBOR SPRINGS CITY,NICK WHITAKER,"160 ZOLL ST,Next to door.,HARBOR SPRINGS,MI,49740",24/7
EMMET,LITTLEFIELD TOWNSHIP,SONDRA L. FESTERLING,"7631 BURR AVE,ALANSON,MI,49706",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EMMET,LITTLE TRAVERSE TOWNSHIP,KIM PORTA,"8288 S. PLEASANTVIEW RD,HARBOR SPRINGS,MI,49740",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EMMET,MCKINLEY TOWNSHIP,ALICIA MORROW,"1820 N. US HIGHWAY 31,PELLSTON,MI,49769",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EMMET,MAPLE RIVER TOWNSHIP,TAMMY GREGORY,"3989 US HWY 31,Brutus,MI,49716",24/7
EMMET,PETOSKEY CITY,SARAH BEK,"101 EAST LAKE STREET,INSIDE CITY HALL LOBBY,PETOSKEY,MI,49770",MONDAY 8:00AM - 5:00PM;TUESDAY 8:00AM - 5:00PM;WEDNESDAY 8:00AM - 5:00PM;THURSDAY 8:00AM - 5:00PM;FRIDAY 8:00AM - 5:00PM;
EMMET,PETOSKEY CITY,SARAH BEK,"101 EAST LAKE STREET,OUTSIDE/EAST SIDE OF CITY HALL,PETOSKEY,MI,49770",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EMMET,PLEASANTVIEW TOWNSHIP,DEBBIE BOSMA,"2982 S. PLEASANTVIEW ROAD,NEXT TO FRONT DOOR,HARBOR SPRINGS,MI,49740",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EMMET,READMOND TOWNSHIP,REBECCA  MCLEAN,"6034 WORMWOOD LANE,HARBOR SPRINGS,MI,49740",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EMMET,RESORT TOWNSHIP,RUFUS WELSHEIMER,"2232 RESORT PIKE,PETOSKEY,MI,49770",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EMMET,SPRINGVALE TOWNSHIP,PATRICIA MCCUNE,"8198 E. MITCHELL RD.,NEXT  TO  MAILBOX  ON  TOWNSHIP  DRIVEWAY,PETOSKEY,MI,49770",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EMMET,WAWATAM TOWNSHIP,MEGHAN MICHALAK,"123 W. ETHERINGTON,MACKINAW CITY,MI,49701",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
EMMET,WEST TRAVERSE TOWNSHIP,JOSEPH OLSON,"8001 M-119,HARBOR SPRINGS,MI,49740",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,ARGENTINE TOWNSHIP,KARA PILLOW,"9048 SILVER LAKE RD.,LINDEN,MI,48451",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,ATLAS TOWNSHIP,TONI YAKLIN,"7386 S. GALE ROAD,IN THE PARKING LOT BEHIND THE BUILDING.,GRAND BLANC,MI,48439",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,BURTON CITY,RACHEAL BOGGS,"4303 S. CENTER RD,DRIVE-UP DROP BOX,BURTON,MI,48519",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,CLAYTON TOWNSHIP,DENNIS MILEM,"2011 S. MORRISH RD.,SWARTZ CREEK,MI,48473",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,CLIO CITY,KELLY SPROUL,"505 W VIENNA STREET,CLIO,MI,48457",MONDAY 8:00AM - 4:30PM;TUESDAY 8:00AM - 4:30PM;WEDNESDAY 8:00AM - 4:30PM;THURSDAY 8:00AM - 4:30PM;FRIDAY 8:00AM - 4:30PM;
GENESEE,CLIO CITY,KELLY SPROUL,"505 W VIENNA STREET,CLIO,MI,48420",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,DAVISON CITY,ANDREA SCHROEDER,"200 E. Flint Street, Suite 2,Davison,MI,48423",24/7
GENESEE,DAVISON TOWNSHIP,MICHAEL LEFFLER,"10135 LAPEER ROAD,DAVISON,MI,48423",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,DAVISON TOWNSHIP,MICHAEL LEFFLER,"1280 N IRISH RD,DAVISON,MI,48423",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,FENTON CITY,JENNIFER KIENAST,"CITY HALL LOBBY,301 S. LEROY ST.,FENTON,MI,48430",MONDAY 8:00AM - 5:00PM;TUESDAY 8:00AM - 5:00PM;WEDNESDAY 8:00AM - 5:00PM;THURSDAY 8:00AM - 5:00PM;FRIDAY 8:30AM - 12:00PM;
GENESEE,FENTON CITY,JENNIFER KIENAST,"CITY HALL SOUTH ENTRANCE,301 S. LEROY ST.,FENTON,MI,48430",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,FENTON TOWNSHIP,ROBERT KRUG,"12060 MANTAWAUKA DR,FENTON,MI,48430",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,FENTON TOWNSHIP,ROBERT KRUG,"5120 OWEN RD,LINDEN,MI,48451",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,FLINT CITY,DAVINA DONAHUE,"FIRE STATION 3,1525 MARTIN LUTHER KING AVE,FLINT,MI,48503",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;
GENESEE,FLINT CITY,DAVINA DONAHUE,"FIRE STATION 5,3402 WESTERN ROAD;,FLINT,MI,48506",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;
GENESEE,FLINT CITY,DAVINA DONAHUE,"FIRE STATION 6,716 W. PIERSON ROAD;,FLINT,MI,48505",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;
GENESEE,FLINT CITY,DAVINA DONAHUE,"FIRE STATION 8,202 E. ATHERTON ROAD.,FLINT,MI,48502",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;
GENESEE,FLINT CITY,DAVINA DONAHUE,"FLINT CITY HALL (BET.  POLICE AND FIRE DPTS),210 E. 5TH STREET,FLINT,MI,48502",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,FLINT CITY,DAVINA DONAHUE,"FLINT CITY HALL, 1101 S. SAGINAW ST.,NEAR FRONT ENTRANCE.,FLINT,MI,48502",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,FLINT TOWNSHIP,MANYA TRIPLETT,"1490 S DYE RD,PARKING LOT,FLINT,MI,48532",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,FLINT TOWNSHIP,MANYA TRIPLETT,"2071 S GRAHAM RD,PARKING LOT,FLINT,MI,48532",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,FLUSHING CITY,MONICA ZOFCHAK,"725 E MAIN STREET,BESIDE MAIN DOOR,FLUSHING,MI,48433",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,FLUSHING CITY,MONICA ZOFCHAK,"725 E. MAIN STREET,IN CIRCLE DRIVE,FLUSHING,MI,48433",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,FLUSHING TOWNSHIP,WENDY D MEINBURG,"6524 N. Seymour Rd.,Flushing,MI,48433",24/7
GENESEE,FOREST TOWNSHIP,LISA MARGRIF,"130 E Main St,Outside main doors to building.,Otisville,MI,48463",24/7
GENESEE,GAINES TOWNSHIP,MICHAEL VANDUSEN,"9255 GRAND BLANC RD,GAINES,MI,48436",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,GENESEE TOWNSHIP,ROBERT WATTERS,"GENESEE TOWNSHIP FIRE STATION #2,3128 ALCOTT AVE.,FLINT,MI,48506",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,GENESEE TOWNSHIP,ROBERT WATTERS,"GENESEE TOWNSHIP HALL,7244 B.GENESEE RD.,GENESEE,MI,48437",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,GENESEE TOWNSHIP,ROBERT WATTERS,"GENESEE TOWNSHIP HALL,7244 N. GENESEE RD.,GENESEE,MI,48437",MONDAY 9:00AM - 5:00PM;TUESDAY 9:00AM - 5:00PM;WEDNESDAY 9:00AM - 5:00PM;THURSDAY 9:00AM - 5:00PM;FRIDAY 9:00AM - 5:00PM;
GENESEE,GRAND BLANC CITY,MARY HOPKINS,"203 E Grand Blanc Rd,Grand Blanc,MI,48439",24/7
GENESEE,GRAND BLANC TOWNSHIP,DAVID ROBERTSON,"3313 E BALDWIN ROAD,GRAND BLANC,MI,48439",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,GRAND BLANC TOWNSHIP,DAVID ROBERTSON,"515 PERRY ROAD,GRAND BLANC,MI,48439",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,GRAND BLANC TOWNSHIP,DAVID ROBERTSON,"5371 S. SAGINAW STREET,GRAND BLANC,MI,48507",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,LINDEN CITY,KRISTYN  KANYAK ,"LINDEN CITY HALL,132 EAST BROAD STREET,LINDEN,MI,48451",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,LINDEN CITY,KRISTYN  KANYAK ,"LINDEN CITY HALL,132 EAST BROAD STREET,LINDEN,MI,48451",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,MONTROSE CITY,TINA RUSH,"139 S. SAGINAW STREET,MONTROSE,MI,48457",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,MONTROSE TOWNSHIP,STEVEN SCHLICHT,"11444 N. SEYMOUR ROAD,MONTROSE,MI,48457",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,MOUNT MORRIS CITY,SPENCER LEWIS,"11649 N. SAGINAW STREET,MT. MORRIS,MI,48458",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,MOUNT MORRIS TOWNSHIP,DEWAYN ALLEN,"5413 BICENTENNIAL DR.,MT. MORRIS,MI,48458",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,MOUNT MORRIS TOWNSHIP,DEWAYN ALLEN,"5447 BICENTENNIAL DR.,MT. MORRIS,MI,48458",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,MUNDY TOWNSHIP,CORY BOSTWICK,"3478 MUNDY AVE,SWARTZ CREEK,MI,48473",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,MUNDY TOWNSHIP,CORY BOSTWICK,"3478 MUNDY AVE,SWARTZ CREEK,MI,48473",MONDAY 8:00AM - 6:00PM;TUESDAY 8:00AM - 6:00PM;WEDNESDAY 8:00AM - 6:00PM;THURSDAY 8:00AM - 6:00PM;
GENESEE,RICHFIELD TOWNSHIP,CHERYL CAMPBELL-HOBERG,"5381 N STATE RD,DAVISON,MI,48423",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,SWARTZ CREEK CITY,JACQUIE  FORREST ,"8083 CIVIC DRIVE,SWARTZ CREEK,MI,48473",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,THETFORD TOWNSHIP,STACEY WELLS,"4014 E VIENNA RD,CLIO,MI,48420",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GENESEE,VIENNA TOWNSHIP,CYNTHIA BRYAN,"3400 W. VIENNA ROAD,CLIO,MI,48420",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GLADWIN,BEAVERTON CITY,JANELLE KEEN-BURGOYNE,"128 SAGINAW ST.,BEAVERTON,MI,48612",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GLADWIN,BENTLEY TOWNSHIP,KRISTIE RESMER,"4013 ESTEY RD,RHODES,MI,48652",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
GLADWIN,BOURRET TOWNSHIP,JEFF FOURNIER,"2749 SCHOOL RD,ALGER,MI,48610",MONDAY 24HR;TUESDAY 24HR;WEDNESDAY 24HR;THURSDAY 24HR;FRIDAY 24HR;SATURDAY 24HR;SUNDAY 24HR;
